a|一個 |[eɪ]
garage|車庫 |[ˈɡær.ɑːʒ]
garden|花園 |[ˈɡɑː.dən]
garbage|垃圾 |[ˈɡɑː.bɪdʒ]
gas|瓦斯/汽油 |[ɡæs]
gate|大門 |[ɡeɪt]
gather|聚集 |[ˈɡæð.ər]
general|一般的/將軍 |[ˈdʒen.ər.əl]
generation|世代 |[ˌdʒen.əˈreɪ.ʃən]
generous|慷慨的 |[ˈdʒen.ər.əs]
genius|天才 |[ˈdʒiː.ni.əs]
gentle|溫柔的 |[ˈdʒen.təl]
gentleman|紳士 |[ˈdʒen.təl.mən]
geography|地理 |[dʒiˈɒɡ.rə.fi]
gesture|手勢 |[ˈdʒes.tʃər]
get|得到/變成 |[ɡet]
ghost|鬼 |[ɡəʊst]
giant|巨大的/巨人 |[ˈdʒaɪ.ənt]
gift|禮物/天賦 |[ɡɪft]
girl|女孩 |[ɡɜːl]
give|給 |[ɡɪv]
glad|高興的 |[ɡlæd]
glass|玻璃/玻璃杯 |[ɡlɑːs]
glasses|眼鏡 |[ˈɡlɑː.sɪz]
glove|手套 |[ɡlʌv]
glue|膠水 |[ɡluː]
go|去 |[ɡəʊ]
goal|目標 |[ɡəʊl]
goat|山羊 |[ɡəʊt]
god|神 |[ɡɒd]
gold|黃金 |[ɡəʊld]
golden|金色的 |[ˈɡəʊl.dən]
golf|高爾夫球 |[ɡɒlf]
good|好的 |[ɡʊd]
good-bye|再見 |[ˌɡʊdˈbaɪ]
goose|鵝 |[ɡuːs]
government|政府 |[ˈɡʌv.ən.mənt]
grade|年級/成績 |[ɡreɪd]
grandchild|孫子女 |[ˈɡræn.tʃaɪld]
granddaughter|孫女 |[ˈɡræn.dɔː.tər]
grandfather|祖父 |[ˈɡræn.fɑː.ðər]
grandma|祖母 |[ˈɡræn.mɑː]
grandmother|祖母 |[ˈɡræn.mʌð.ər]
grandpa|祖父 |[ˈɡræn.pɑː]
grandson|孫子 |[ˈɡræn.sʌn]
grape|葡萄 |[ɡreɪp]
grass|草 |[ɡrɑːs]
gray|灰色的 |[ɡreɪ]
great|棒的/偉大的 |[ɡreɪt]
greedy|貪心的 |[ˈɡriː.di]
green|綠色的 |[ɡriːn]
greet|打招呼 |[ɡriːt]
ground|地面 |[ɡraʊnd]
group|群組/團隊 |[ɡruːp]
grow|生長/種植 |[ɡrəʊ]
guard|警衛/防衛 |[ɡɑːd]
guava|芭樂 |[ˈɡwɑː.və]
guest|客人 |[ɡest]
guide|導遊/指南 |[ɡaɪd]
guitar|吉他 |[ɡɪˈtɑːr]
gun|槍 |[ɡʌn]
guy|家伙/男子 |[ɡaɪ]
gym|體育館 |[dʒɪm]
habit|習慣 |[ˈhæb.ɪt]
hair|頭髮 |[heər]
haircut|理髮 |[ˈheə.kʌt]
half|一半 |[hɑːf]
ham|火腿 |[hæm]
hamburger|漢堡 |[ˈhæm.bɜː.ɡər]
hand|手/遞交 |[hænd]
handbag|手提包 |[ˈhænd.bæɡ]
handkerchief|手帕 |[ˈhæŋ.kə.tʃɪf]
handle|處理/把手 |[ˈhæn.dəl]
handsome|英俊的 |[ˈhæn.səm]
hang|懸掛 |[hæŋ]
happen|發生 |[ˈhæp.ən]
happy|快樂的 |[ˈhæp.i]
hard|硬的/困難的/努力地 |[hɑːd]
hardly|幾乎不 |[ˈhɑːd.li]
hardworking|勤奮的 |[ˌhɑːdˈwɜː.kɪŋ]
hat|帽子 |[hæt]
hate|討厭 |[heɪt]
have|有/吃 |[hæv]
he|他 |[hiː]
head|頭/首長 |[hed]
headache|頭痛 |[ˈhed.eɪk]
health|健康 |[helθ]
healthy|健康的 |[ˈhel.θi]
hear|聽見 |[hɪər]
heart|心臟/心 |[hɑːt]
heat|熱度/加熱 |[hiːt]
heater|電暖器 |[ˈhiː.tər]
heavy|重的 |[ˈhev.i]
height|高度 |[haɪt]
helicopter|直飛機 |[ˈhel.ɪˌkɒp.tər]
hello|哈囉 |[həˈləʊ]
help|幫忙 |[help]
helpful|有幫助的 |[ˈhelp.fəl]
hen|母雞 |[hen]
her|她的/她(受格) |[hɜːr]
here|這裡 |[hɪər]
hero|英雄 |[ˈhɪə.rəʊ]
hers|她的(所有格代名詞) |[hɜːz]
herself|她自己 |[hɜːˈself]
hey|嘿 |[heɪ]
hi|嗨 |[haɪ]
hide|躲藏 |[haɪd]
high|高的 |[haɪ]
highway|公路 |[ˈhaɪ.weɪ]
hike|健行 |[haɪk]
hill|小山 |[hɪl]
him|他(受格) |[hɪm]
himself|他自己 |[hɪmˈself]
hippo|河馬 |[ˈhɪp.əʊ]
hire|雇用 |[ˈhaɪər]
his|他的 |[hɪz]
history|歷史 |[ˈhɪs.tər.i]
hit|打擊 |[hɪt]
hobby|嗜好 |[ˈhɒb.i]
hold|握住/舉辦 |[həʊld]
holiday|假日 |[ˈhɒl.ɪ.deɪ]
home|家 |[həʊm]
homework|家庭作業 |[ˈhəʊm.wɜːk]
honest|誠實的 |[ˈɒn.ɪst]
honey|蜂蜜/親愛的 |[ˈhʌn.i]
hong kong|香港 |[ˌhɒŋ ˈkɒŋ]
hope|希望 |[həʊp]
hopeless|絕望的 |[ˈhəʊp.ləs]
horse|馬 |[hɔːs]
hospital|醫院 |[ˈhɒs.pɪ.təl]
host|主人 |[həʊst]
hot|熱的/辣的 |[hɒt]
hot dog|熱狗 |[ˌhɒt ˈdɒɡ]
hotel|飯店 |[həʊˈtel]
hour|小時 |[ˈaʊər]
house|房子 |[haʊs]
housewife|全職家庭主婦 |[ˈhaʊs.waɪf]
housework|家事 |[ˈhaʊs.wɜːk]
how|如何 |[haʊ]
however|然而 |[haʊˈev.ər]
hug|擁抱 |[hʌɡ]
human|人類 |[ˈhjuː.mən]
humble|謙虛的 |[ˈhʌm.bəl]
humid|潮濕的 |[ˈhjuː.mɪd]
humor|幽默 |[ˈhjuː.mər]
humorous|幽默的 |[ˈhjuː.mər.əs]
hundred|百 |[ˈhʌn.drəd]
hunger|飢餓 |[ˈhʌŋ.ɡər]
hungry|飢餓的 |[ˈhʌŋ.ɡri]
hunt|打獵 |[hʌnt]
hunter|獵人 |[ˈhʌn.tər]
hurry|匆忙 |[ˈhʌr.i]
hurt|受傷/傷害 |[hɜːt]
husband|丈夫 |[ˈhʌz.bənd]
i|我 |[aɪ]
ice|冰 |[aɪs]
ice cream|冰淇淋 |[ˌaɪs ˈkriːm]
idea|想法/主意 |[aɪˈdɪə]
if|如果 |[ɪf]
ignore|忽略 |[ɪɡˈnɔːr]
ill|生病的 |[ɪl]
image|影像/形象 |[ˈɪm.ɪdʒ]
imagine|想像 |[ɪˈmædʒ.ɪn]
imitate|模仿 |[ˈɪm.ɪ.teɪt]
immediate|立即的 |[ɪˈmiː.di.ət]
importance|重要性 |[ɪmˈpɔː.təns]
important|重要的 |[ɪmˈpɔː.tənt]
impossible|不可能的 |[ɪmˈpɒs.ə.bəl]
improve|改善 |[ɪmˈpruːv]
in|在...裡面 |[ɪn]
inch|英吋 |[ɪntʃ]
include|包含 |[ɪnˈkluːd]
income|收入 |[ˈɪŋ.kʌm]
increase|增加 |[ɪnˈkriːs]
independent|獨立的 |[ˌɪn.dɪˈpen.dənt]
