a|一個 |[eɪ]
indicate|指出 |[ˈɪn.dɪ.keɪt]
influence|影響 |[ˈɪn.flu.əns]
information|資訊 |[ˌɪn.fəˈmeɪ.ʃən]
injury|受傷 |[ˈɪn.dʒər.i]
ink|墨水 |[ɪŋk]
insect|昆蟲 |[ˈɪn.sekt]
inside|在...裡面 |[ɪnˈsaɪd]
insist|堅持 |[ɪnˈsɪst]
inspire|啟發 |[ɪnˈspaɪər]
instance|例子 |[ˈɪn.stəns]
instant|立即的 |[ˈɪn.stənt]
instrument|儀器/樂器 |[ˈɪn.strə.mənt]
intelligent|聰明的 |[ɪnˈtel.ɪ.dʒənt]
intent|意圖 |[ɪnˈtent]
interest|興趣/利息 |[ˈɪn.trəst]
interested|感到有興趣的 |[ˈɪn.trə.stɪd]
interesting|有趣的 |[ˈɪn.trə.stɪŋ]
international|國際的 |[ˌɪn.təˈnæʃ.ən.əl]
internet|網路 |[ˈɪn.tə.net]
interview|面試/採訪 |[ˈɪn.tə.vjuː]
introduce|介紹 |[ˌɪn.trəˈdjuːs]
invent|發明 |[ɪnˈvent]
invention|發明物 |[ɪnˈven.ʃən]
invitation|邀請函 |[ˌɪn.vɪˈteɪ.ʃən]
invite|邀請 |[ɪnˈvaɪt]
iron|鐵/熨斗 |[ˈaɪən]
island|島嶼 |[ˈaɪ.lənd]
it|牠/它 |[ɪt]
its|牠的/它的 |[ɪts]
itself|牠自己/它自己 |[ɪtˈself]
jacket|夾克 |[ˈdʒæk.ɪt]
jam|果醬/卡住 |[dʒæm]
January|一月 |[ˈdʒæn.ju.er.i]
Japan|日本 |[dʒəˈpæn]
Japanese|日本人/日語/日本的 |[ˌdʒæp.əˈniːz]
jeans|牛仔褲 |[dʒiːnz]
jeep|吉普車 |[dʒiːp]
job|工作 |[dʒɒb]
jog|慢跑 |[dʒɒɡ]
join|加入 |[dʒɔɪn]
joke|笑話 |[dʒəʊk]
journalist|記者 |[ˈdʒɜː.nə.lɪst]
journey|旅程 |[ˈdʒɜː.ni]
joy|喜悅 |[dʒɔɪ]
judge|法官/裁判/評判 |[dʒʌdʒ]
juice|果汁 |[dʒuːs]
July|七月 |[dʒuˈlaɪ]
jump|跳躍 |[dʒʌmp]
June|六月 |[dʒuːn]
junior|初級的/年少的 |[ˈdʒuː.ni.ər]
just|剛剛/只是 |[dʒʌst]
kangaroo|袋鼠 |[ˌkæŋ.ɡəˈruː]
keep|保持/保留 |[kiːp]
key|鍵盤/鑰匙 |[kiː]
kick|踢 |[kɪk]
kid|小孩/開玩笑 |[kɪd]
kill|殺死 |[kɪl]
kilogram|公斤 |[ˈkɪl.ə.ɡræm]
kilometer|公里 |[ˈkɪl.əˌmiː.tər]
kind|仁慈的/種類 |[kaɪnd]
king|國王 |[kɪŋ]
kingdom|王國 |[ˈkɪŋ.dəm]
kiss|吻 |[kɪs]
kitchen|廚房 |[ˈkɪtʃ.ən]
kite|風箏 |[kaɪt]
kitten|小貓 |[ˈkɪt.ən]
knee|膝蓋 |[niː]
knife|刀子 |[naɪf]
knight|騎士 |[naɪt]
knock|敲擊 |[nɒk]
know|知道 |[nəʊ]
knowledge|知識 |[ˈnɒl.ɪdʒ]
koala|無尾熊 |[kəʊˈɑː.lə]
Korea|韓國 |[kəˈrɪə]
Korean|韓國人/韓語/韓國的 |[kəˈriː.ən]
kwanzaa|寬扎節 |[ˈkwɑːn.zə]
labor|勞動 |[ˈleɪ.bər]
lack|缺乏 |[læk]
lady|女士 |[ˈleɪ.di]
lake|湖泊 |[leɪk]
lamb|小羊肉 |[læm]
lamp|檯燈 |[læmp]
land|土地/著陸 |[lænd]
language|語言 |[ˈlæŋ.ɡwɪdʒ]
lantern|燈籠 |[ˈlæn.tən]
large|大的 |[lɑːdʒ]
laser|雷射 |[ˈleɪ.zər]
last|最後的/持續 |[lɑːst]
late|遲的 |[leɪt]
lately|最近 |[ˈleɪt.li]
later|稍後 |[ˈleɪ.tər]
latest|最新的 |[ˈleɪ.tɪst]
laugh|笑 |[lɑːf]
law|法律 |[lɔː]
lawyer|律師 |[ˈlɔː.jər]
lay|產卵/擺放 |[leɪ]
lazy|懶惰的 |[ˈleɪ.zi]
lead|引導/領導 |[liːd]
leader|領導者 |[ˈliː.dər]
leadership|領導能力 |[ˈliː.də.ʃɪp]
leaf|樹葉 |[liːf]
league|聯盟 |[liːɡ]
learn|學習 |[lɜːn]
least|最少的 |[liːst]
leather|皮革 |[ˈleð.ər]
leave|離開/留下 |[liːv]
legal|合法的 |[ˈliː.ɡəl]
lemon|檸檬 |[ˈlem.ən]
lend|借出 |[lend]
length|長度 |[leŋθ]
less|較少的 |[les]
lesson|課/教訓 |[ˈles.ən]
let|讓 |[let]
letter|信件/字母 |[ˈlet.ər]
lettuce|萵苣 |[ˈlet.ɪs]
level|水平/等級 |[ˈlev.əl]
library|圖書館 |[ˈlaɪ.brər.i]
lick|舔 |[lɪk]
lid|蓋子 |[lɪd]
lie|躺/說謊 |[laɪ]
life|生命/生活 |[laɪf]
lift|舉起/電梯 |[lɪft]
light|光線/輕的/點燃 |[laɪt]
like|喜歡/像 |[laɪk]
limit|限制 |[ˈlɪm.ɪt]
line|線/排隊 |[laɪn]
link|連結 |[lɪŋk]
lion|獅子 |[ˈlaɪ.ən]
lip|嘴唇 |[lɪp]
liquid|液體 |[ˈlɪk.wɪd]
list|清單 |[lɪst]
listen|傾聽 |[ˈlɪs.ən]
liter|公升 |[ˈliː.tər]
little|小的/很少的 |[ˈlɪt.əl]
live|居住/活的/直播 |[lɪv]
lively|熱鬧的/有生氣的 |[ˈlaɪv.li]
liver|肝臟 |[ˈlɪv.ər]
load|裝載/負荷 |[ləʊd]
loaf|條(麵包) |[ləʊf]
local|在地的/當地的 |[ˈləʊ.kəl]
location|位置 |[ləʊˈkeɪ.ʃən]
lock|鎖 |[lɒk]
log|原木/日誌 |[lɒɡ]
lonely|孤獨的 |[ˈləʊn.li]
long|長的 |[lɒŋ]
look|看/看起來 |[lʊk]
lose|失去/輸掉 |[luːz]
loser|輸家 |[ˈluː.zər]
loss|損失 |[lɒs]
lot|許多 |[lɒt]
loud|大聲的 |[laʊd]
love|愛 |[lʌv]
lovely|可愛的 |[ˈlʌv.li]
lover|情人 |[ˈlʌv.ər]
low|低的 |[ləʊ]
loyal|忠誠的 |[ˈlɔɪ.əl]
luck|運氣 |[lʌk]
lucky|幸運的 |[ˈlʌk.i]
lunch|午餐 |[lʌntʃ]
lung|肺 |[lʌŋ]
machine|機器 |[məˈʃiːn]
mad|瘋狂的/生氣的 |[mæd]
magazine|雜誌 |[ˌmæɡ.əˈziːn]
magic|魔術/神奇的 |[ˈmædʒ.ɪk]
magician|魔術師 |[məˈdʒɪʃ.ən]
mail|郵件 |[meɪl]
mailman|郵差 |[ˈmeɪl.mæn]
main|主要的 |[meɪn]
major|主要的/主修 |[ˈmeɪ.dʒər]
make|製造/使得 |[meɪk]
male|男性的 |[meɪl]
mall|購物中心 |[mɔːl]
mammal|哺乳動物 |[ˈmæm.əl]
man|男人 |[mæn]
manage|管理/經營 |[ˈmæn.ɪdʒ]
manager|經理 |[ˈmæn.ɪ.dʒər]
mandarin|國語/普通話 |[ˈmæn.də.rɪn]
mango|芒果 |[ˈmæŋ.ɡəʊ]
manner|禮貌/方式 |[ˈmæn.ər]
many|許多的 |[ˈmen.i]
map|地圖 |[mæp]
maple|楓樹 |[ˈmeɪ.pəl]
marathon|馬拉松 |[ˈmær.ə.θən]
marble|大理石/彈珠 |[ˈmɑː.bəl]
March|三月 |[mɑːtʃ]
mark|分數/標記 |[mɑːk]
market|市場 |[ˈmɑː.kɪt]
marriage|婚姻 |[ˈmær.ɪdʒ]
marry|結婚 |[ˈmær.i]
marvel|奇蹟/驚嘆 |[ˈmɑː.vəl]
mask|面具/口罩 |[mɑːsk]
mass|大量/群眾 |[mæs]
master|主人/大師 |[ˈmɑː.stər]
match|比賽/火柴/配對 |[mætʃ]
mate|夥伴 |[meɪt]
material|材料 |[məˈtɪə.ri.əl]
math|數學 |[mæθ]
mathematics|數學 |[ˌmæθ.əˈmæt.ɪks]
matter|事情/重要 |[ˈmæt.ər]
maximum|最大值 |[ˈmæk.sɪ.məm]
May|五月/可以 |[meɪ]
maybe|也許 |[ˈmeɪ.biː]
me|我(受格) |[miː]
meal|一餐 |[miːl]
mean|意思是/刻薄的 |[miːn]
meaning|意義 |[ˈmiː.nɪŋ]
measure|測量 |[ˈmeʒ.ər]
meat|肉類 |[miːt]
mechanic|技工 |[məˈkæn.ɪk]
medal|獎牌 |[ˈmed.əl]
media|媒體 |[ˈmiː.di.ə]
medical|醫療的 |[ˈmed.ɪ.kəl]
medicine|藥 |[ˈmed.ɪ.sɪn]
meet|遇見 |[miːt]
meeting|會議 |[ˈmiː.tɪŋ]
melon|瓜類 |[ˈmel.ən]
member|會員/成員 |[ˈmem.bər]
memory|記憶 |[ˈmem.ər.i]
men|男人們(複數) |[men]
mental|心理的 |[ˈmen.təl]
mention|提及 |[ˈmen.ʃən]
menu|菜單 |[ˈmen.juː]
merchant|商人 |[ˈmɜː.tʃənt]
mercy|慈悲 |[ˈmɜː.si]
merely|僅僅 |[ˈmɪə.li]
merit|優點 |[ˈmer.ɪt]
merry|快樂的 |[ˈmer.i]
mess|混亂 |[mes]
message|訊息 |[ˈmes.ɪdʒ]
metal|金屬 |[ˈmet.əl]
method|方法 |[ˈmeθ.əd]
metric|公制的 |[ˈmet.rɪk]
microphone|麥克風 |[ˈmaɪ.krə.fəʊn]
microwave|微波爐 |[ˈmaɪ.krə.weɪv]
middle|中間的 |[ˈmɪd.əl]
midnight|午夜 |[ˈmɪd.naɪt]
might|可能 |[maɪt]
mighty|強大的 |[ˈmaɪ.ti]
mild|溫和的 |[maɪld]
mile|英哩 |[maɪl]
military|軍事的 |[ˈmɪl.ɪ.tər.i]
milk|牛奶 |[mɪlk]
million|百萬 |[ˈmɪl.jən]
mind|頭腦/介意 |[maɪnd]
mine|我的(所有格代名詞)/礦坑 |[maɪn]
miner|礦工 |[ˈmaɪ.nər]
mineral|礦物 |[ˈmɪn.ər.əl]
minimum|最小值 |[ˈmɪn.ɪ.məm]
minister|部長 |[ˈmɪn.ɪ.stər]
minor|次要的/未成年人 |[ˈmaɪ.nər]
minority|少數 |[maɪˈnɒr.ɪ.ti]
minus|減去 |[ˈmaɪ.nəs]
minute|分鐘 |[ˈmɪn.ɪt]
miracle|奇蹟 |[ˈmɪr.ə.kəl]
mirror|鏡子 |[ˈmɪr.ər]
miserable|悲慘的 |[ˈmɪz.ər.ə.bəl]
miss|想念/錯過/小姐 |[mɪs]
missile|飛彈 |[ˈmɪs.aɪl]
mission|任務 |[ˈmɪʃ.ən]
mist|薄霧 |[mɪst]
mistake|錯誤 |[mɪˈsteɪk]
mix|混合 |[mɪks]
mixture|混合物 |[ˈmɪks.tʃər]
moan|呻吟 |[məʊn]
mob|暴民 |[mɒb]
mobile|可移動的 |[ˈməʊ.baɪl]
model|模型/模特兒 |[ˈmɒd.əl]
moderate|適度的 |[ˈmɒd.ər.ət]
modern|現代的 |[ˈmɒd.ən]
modest|謙虛的 |[ˈmɒd.ɪst]
moist|潮濕的 |[mɔɪst]
moisture|濕氣 |[ˈmɔɪs.tʃər]
molecule|分子 |[ˈmɒl.ɪ.kjuːl]
moment|片刻 |[ˈməʊ.mənt]
monarch|君主 |[ˈmɒn.ək]
monastery|修道院 |[ˈmɒn.ə.stri]
Monday|星期一 |[ˈmʌn.deɪ]
money|錢 |[ˈmʌn.i]
monk|僧侶 |[mʌŋk]
monkey|猴子 |[ˈmʌŋ.ki]
monster|怪物 |[ˈmɒn.stər]
month|月份 |[mʌnθ]
monument|紀念碑 |[ˈmɒn.jʊ.mənt]
mood|心情 |[muːd]
moon|月亮 |[muːn]
moral|道德的 |[ˈmɒr.əl]
more|更多的 |[mɔːr]
morning|早上 |[ˈmɔː.nɪŋ]
mortal|會死的/凡人 |[ˈmɔː.təl]
mosquito|蚊子 |[məˈskiː.təʊ]
moss|苔蘚 |[mɒs]
most|最多的 |[məʊst]
mother|母親 |[ˈmʌð.ər]
motion|動作 |[ˈməʊ.ʃən]
motivate|激勵 |[ˈməʊ.tɪ.veɪt]
motive|動機 |[ˈməʊ.tɪv]
motor|馬達 |[ˈməʊ.tər]
motorcycle|機車 |[ˈməʊ.təˌsaɪ.kəl]
mountain|山 |[ˈmaʊn.tɪn]
mourn|哀悼 |[mɔːn]
mouse|老鼠/滑鼠 |[maʊs]
mouth|嘴巴 |[maʊθ]
move|移動/搬家 |[muːv]
movement|運動/移動 |[ˈmuːv.mənt]
movie|電影 |[ˈmuː.vi]
mr.|先生 |[ˈmɪs.tər]
mrs.|太太 |[ˈmɪs.ɪz]
ms.|女士(未知婚否) |[mɪz]
much|許多的 |[mʌtʃ]
mud|泥巴 |[mʌd]
muddy|泥濘的 |[ˈmʌd.i]
mule|騾子 |[mjuːl]
multiple|多個的 |[ˈmʌl.tɪ.pəl]
multiply|增加/乘以 |[ˈmʌl.tɪ.plaɪ]
multitude|多數 |[ˈmʌl.tɪ.tjuːd]
murder|謀殺 |[ˈmɜː.dər]
music|音樂 |[ˈmjuː.zɪk]
museum|博物館 |[mjuˈziː.əm]
must|必須 |[mʌst]
mutton|羊肉 |[ˈmʌt.ən]
my|我的 |[maɪ]
myself|我自己 |[maɪˈself]
nail|指甲/釘子 |[neɪl]
name|名字 |[neɪm]
national|國家的 |[ˈnæʃ.ən.əl]
nature|自然 |[ˈneɪ.tʃər]
near|靠近的 |[nɪər]
nearby|在附近 |[ˈnɪə.baɪ]
neck|脖子 |[nek]
necklace|項鍊 |[ˈnek.ləs]
need|需要 |[niːd]
needle|針 |[ˈniː.dəl]
neighbor|鄰居 |[ˈneɪ.bər]
neither|兩者皆非 |[ˈnaɪ.ðər]
nervous|緊張的 |[ˈnɜː.vəs]
nest|鳥巢 |[nest]
net|網子 |[net]
never|從不 |[ˈnev.ər]
new|新的 |[njuː]
news|新聞 |[njuːz]
newspaper|報紙 |[ˈnjuːz.peɪ.pər]
next|下一個 |[nekst]
nice|好的 |[naɪs]
night|夜晚 |[naɪt]
nine|九 |[naɪn]
nineteen|十九 |[ˌnaɪnˈtiːn]
ninety|九十 |[ˈnaɪn.ti]
ninth|第九 |[naɪnθ]
no|不 |[nəʊ]
nobody|無人 |[ˈnəʊ.bə.di]
nod|點頭 |[nɒd]
noise|噪音 |[nɔɪz]
noisy|吵鬧的 |[ˈnɔɪ.zi]
none|毫無 |[nʌn]
noodle|麵條 |[ˈnuː.dəl]
noon|中午 |[nuːn]
nor|也不 |[nɔːr]
north|北方 |[nɔːθ]
nose|鼻子 |[nəʊz]
not|不是 |[nɒt]
note|筆記/便條 |[nəʊt]
notebook|筆記本 |[ˈnəʊt.bʊk]
nothing|沒事 |[ˈnʌθ.ɪŋ]
notice|注意 |[ˈnəʊ.tɪs]
November|十一月 |[nəʊˈvem.bər]
now|現在 |[naʊ]
number|數字 |[ˈnʌm.bər]
nurse|護士 |[nɜːs]
nut|堅果 |[nʌt]
o'clock|點鐘 |[əˈklɒk]
object|物體/反對 |[ˈɒb.dʒɪkt]
ocean|海洋 |[ˈəʊ.ʃən]
October|十月 |[ɒkˈtəʊ.bər]
of|的 |[ɒv]
off|離開 |[ɒf]
office|辦公室 |[ˈɒf.ɪs]
officer|官員/警官 |[ˈɒf.ɪ.sər]
often|常常 |[ˈɒf.ən]
oil|油 |[ɔɪl]
OK|可以 |[ˌəʊˈkeɪ]
old|老的 |[əʊld]
on|在...之上 |[ɒn]
once|一次 |[wʌns]
one|一 |[wʌn]
oneself|自己 |[wʌnˈself]
onion|洋蔥 |[ˈʌn.jən]
only|只有 |[ˈəʊn.li]
open|打開 |[ˈəʊ.pən]
or|或者 |[ɔːr]
orange|橘子/橘色 |[ˈɒr.ɪndʒ]
order|命令/點餐 |[ˈɔː.dər]
ordinary|平常的 |[ˈɔː.dɪn.er.i]
other|其他的 |[ˈʌð.ər]
our|我們的 |[ˈaʊər]
ours|我們的(所有格代名詞) |[ˈaʊəz]
ourselves|我們自己 |[ˌaʊəˈselvz]
out|在外 |[aʊt]
outside|在外面 |[ˌaʊtˈsaɪd]
oven|烤箱 |[ˈʌv.ən]
over|在...上方/結束 |[ˈəʊ.vər]
overweight|過重的 |[ˌəʊ.vəˈweɪt]
own|自己的 |[əʊn]
ox|公牛 |[ɒks]
pack|打包/包裝 |[pæk]
package|包裹 |[ˈpæk.ɪdʒ]
page|網頁/頁 |[peɪdʒ]
pain|痛苦 |[peɪn]
painful|痛苦的 |[ˈpeɪn.fəl]
paint|繪畫/油漆 |[peɪnt]
painter|畫家 |[ˈpeɪn.tər]
pair|一雙 |[peər]
pale|蒼白的 |[peɪl]
pan|平底鍋 |[pæn]
pancake|薄煎餅 |[ˈpæn.keɪk]
pants|褲子 |[pænts]
papaya|木瓜 |[pəˈpaɪ.ə]
paper|紙張 |[ˈpeɪ.pər]
pardon|原諒 |[ˈpɑː.dən]
parent|雙親之一 |[ˈpeə.rənt]
park|公園/停車 |[pɑːk]
parlor|店面/客廳 |[ˈpɑː.lər]
part|部份 |[pɑːt]
party|派對 |[ˈpɑː.ti]
pass|通過 |[pɑːs]
passenger|乘客 |[ˈpæs.ɪn.dʒər]
passport|護照 |[ˈpɑːs.pɔːt]
past|過去的 |[pɑːst]
paste|黏貼/麵糊 |[peɪst]
path|小徑 |[pɑːθ]
patient|有耐心的/病人 |[ˈpeɪ.ʃənt]
pattern|圖案/模式 |[ˈpæt.ən]
pay|付錢 |[peɪ]
PE|體育 |[ˌpiːˈiː]
peace|和平 |[piːs]
peaceful|和平的 |[ˈpiːs.fəl]
peach|桃子 |[piːtʃ]
pear|梨子 |[peər]
pen|鋼筆 |[pen]
pencil|鉛筆 |[ˈpen.səl]
penny|一分錢 |[ˈpen.i]
people|人們 |[ˈpiː.pəl]
pepper|胡椒粉 |[ˈpep.ər]
perfect|完美的 |[ˈpɜː.fɪkt]
perhaps|或許 |[pəˈhæps]
period|期間/句點 |[ˈpɪə.ri.əd]
person|人 |[ˈpɜː.sən]
personal|個人的 |[ˈpɜː.sən.əl]
pet|寵物 |[pet]
photo|照片 |[ˈfəʊ.təʊ]
photograph|照片 |[ˈfəʊ.tə.ɡrɑːf]
piano|鋼琴 |[piˈæn.əʊ]
pick|挑選/撿起 |[pɪk]
picnic|野餐 |[ˈpɪk.nɪk]
picture|圖片 |[ˈpɪk.tʃər]
pie|派 |[paɪ]
piece|一塊 |[piːs]
pig|豬 |[pɪɡ]
pigeon|鴿子 |[ˈpɪdʒ.ən]
pile|一堆 |[paɪl]
pillow|枕頭 |[ˈpɪl.əʊ]
pin|大頭針 |[pɪn]
pineapple|鳳梨 |[ˈpaɪnˌæp.əl]
pink|粉紅色 |[pɪŋk]
pipe|管子 |[paɪp]
pizza|披薩 |[ˈpiːt.sə]
place|地方 |[pleɪs]
plain|樸素的/平原 |[pleɪn]
plan|計畫 |[plæn]
plane|飛機 |[pleɪn]
planet|行星 |[ˈplæn.ɪt]
plant|植物/種植 |[plɑːnt]
plate|盤子 |[pleɪt]
platform|月台/平台 |[ˈplæt.fɔːm]
play|玩/戲劇 |[pleɪ]
player|玩者/球員 |[ˈpleɪ.ər]
playground|遊樂場 |[ˈpleɪ.ɡraʊnd]
pleasant|令人愉快的 |[ˈplez.ənt]
please|請/使高興 |[pliːz]
pleased|感到高興的 |[pliːzd]
pleasure|榮幸/快樂 |[ˈpleʒ.ər]
plenty|豐富 |[ˈplen.ti]
pocket|口袋 |[ˈpɒk.ɪt]
poem|詩 |[ˈpəʊ.ɪm]
poetry|詩歌 |[ˈpəʊ.ɪ.tri]
point|點/指向 |[pɔɪnt]
poison|毒藥 |[ˈpɔɪ.zən]
police|警察 |[pəˈliːs]
policeman|男警察 |[pəˈliːs.mən]
polite|有禮貌的 |[pəˈlaɪt]
pollute|污染 |[pəˈluːt]
pollution|污染 |[pəˈluː.ʃən]
pond|池塘 |[pɒnd]
pool|水池 |[puːl]
poor|貧窮的/可憐的 |[pɔːr]
popcorn|爆米花 |[ˈpɒp.kɔːn]
popular|受歡迎的 |[ˈpɒp.jʊ.lər]
pork|豬肉 |[pɔːk]
position|位置 |[pəˈzɪʃ.ən]
positive|積極的/正面的 |[ˈpɒz.ə.tɪv]
possible|可能的 |[ˈpɒs.ə.bəl]
post|郵寄/公布 |[pəʊst]
post office|郵局 |[ˈpəʊst ˌɒf.ɪs]
postcard|明信片 |[ˈpəʊst.kɑːd]
pot|鍋子 |[pɒt]
potato|馬鈴薯 |[pəˈteɪ.təʊ]
pound|磅 |[paʊnd]
powder|粉末 |[ˈpaʊ.dər]
power|力量 |[ˈpaʊər]
powerful|強有力的 |[ˈpaʊə.fəl]
practice|練習 |[ˈpræk.tɪs]
praise|讚美 |[preɪz]
mule|騾子 |[mjuːl]
multiple|多個的 |[ˈmʌl.tɪ.pəl]
multiply|增加/乘以 |[ˈmʌl.tɪ.plaɪ]
multitude|多數 |[ˈmʌl.tɪ.tjuːd]
murder|謀殺 |[ˈmɜː.dər]
music|音樂 |[ˈmjuː.zɪk]
museum|博物館 |[mjuˈziː.əm]
must|必須 |[mʌst]
mutton|羊肉 |[ˈmʌt.ən]
my|我的 |[maɪ]
myself|我自己 |[maɪˈself]
nail|指甲/釘子 |[neɪl]
name|名字 |[neɪm]
national|國家的 |[ˈnæʃ.ən.əl]
nature|自然 |[ˈneɪ.tʃər]
near|靠近的 |[nɪər]
nearby|在附近 |[ˈnɪə.baɪ]
neck|脖子 |[nek]
necklace|項鍊 |[ˈnek.ləs]
need|需要 |[niːd]
needle|針 |[ˈniː.dəl]
neighbor|鄰居 |[ˈneɪ.bər]
neither|兩者皆非 |[ˈnaɪ.ðər]
nervous|緊張的 |[ˈnɜː.vəs]
nest|鳥巢 |[nest]
net|網子 |[net]
never|從不 |[ˈnev.ər]
new|新的 |[njuː]
news|新聞 |[njuːz]
newspaper|報紙 |[ˈnjuːz.peɪ.pər]
next|下一個 |[nekst]
nice|好的 |[naɪs]
night|夜晚 |[naɪt]
nine|九 |[naɪn]
nineteen|十九 |[ˌnaɪnˈtiːn]
ninety|九十 |[ˈnaɪn.ti]
ninth|第九 |[naɪnθ]
no|不 |[nəʊ]
nobody|無人 |[ˈnəʊ.bə.di]
nod|點頭 |[nɒd]
noise|噪音 |[nɔɪz]
noisy|吵鬧的 |[ˈnɔɪ.zi]
none|毫無 |[nʌn]
noodle|麵條 |[ˈnuː.dəl]
noon|中午 |[nuːn]
nor|也不 |[nɔːr]
north|北方 |[nɔːθ]
nose|鼻子 |[nəʊz]
not|不是 |[nɒt]
note|筆記/便條 |[nəʊt]
notebook|筆記本 |[ˈnəʊt.bʊk]
nothing|沒事 |[ˈnʌθ.ɪŋ]
notice|注意 |[ˈnəʊ.tɪs]
November|十一月 |[nəʊˈvem.bər]
now|現在 |[naʊ]
number|數字 |[ˈnʌm.bər]
nurse|護士 |[nɜːs]
nut|堅果 |[nʌt]
o'clock|點鐘 |[əˈklɒk]
object|物體/反對 |[ˈɒb.dʒɪkt]
ocean|海洋 |[ˈəʊ.ʃən]
October|十月 |[ɒkˈtəʊ.bər]
of|的 |[ɒv]
off|離開 |[ɒf]
office|辦公室 |[ˈɒf.ɪs]
officer|官員/警官 |[ˈɒf.ɪ.sər]
often|常常 |[ˈɒf.ən]
oil|油 |[ɔɪl]
OK|可以 |[ˌəʊˈkeɪ]
old|老的 |[əʊld]
on|在...之上 |[ɒn]
once|一次 |[wʌns]
one|一 |[wʌn]
oneself|自己 |[wʌnˈself]
onion|洋蔥 |[ˈʌn.jən]
only|只有 |[ˈəʊn.li]
open|打開 |[ˈəʊ.pən]
or|或者 |[ɔːr]
orange|橘子/橘色 |[ˈɒr.ɪndʒ]
order|命令/點餐 |[ˈɔː.dər]
ordinary|平常的 |[ˈɔː.dɪn.er.i]
other|其他的 |[ˈʌð.ər]
our|我們的 |[ˈaʊər]
ours|我們的(所有格代名詞) |[ˈaʊəz]
ourselves|我們自己 |[ˌaʊəˈselvz]
out|在外 |[aʊt]
outside|在外面 |[ˌaʊtˈsaɪd]
oven|烤箱 |[ˈʌv.ən]
over|在...上方/結束 |[ˈəʊ.vər]
overweight|過重的 |[ˌəʊ.vəˈweɪt]
own|自己的 |[əʊn]
ox|公牛 |[ɒks]
pack|打包/包裝 |[pæk]
package|包裹 |[ˈpæk.ɪdʒ]
page|網頁/頁 |[peɪdʒ]
pain|痛苦 |[peɪn]
painful|痛苦的 |[ˈpeɪn.fəl]
paint|繪畫/油漆 |[peɪnt]
painter|畫家 |[ˈpeɪn.tər]
pair|一雙 |[peər]
pale|蒼白的 |[peɪl]
pan|平底鍋 |[pæn]
pancake|薄煎餅 |[ˈpæn.keɪk]
pants|褲子 |[pænts]
papaya|木瓜 |[pəˈpaɪ.ə]
paper|紙張 |[ˈpeɪ.pər]
pardon|原諒 |[ˈpɑː.dən]
parent|雙親之一 |[ˈpeə.rənt]
park|公園/停車 |[pɑːk]
parlor|店面/客廳 |[ˈpɑː.lər]
part|部份 |[pɑːt]
party|派對 |[ˈpɑː.ti]
pass|通過 |[pɑːs]
passenger|乘客 |[ˈpæs.ɪn.dʒər]
passport|護照 |[ˈpɑːs.pɔːt]
past|過去的 |[pɑːst]
paste|黏貼/麵糊 |[peɪst]
path|小徑 |[pɑːθ]
patient|有耐心的/病人 |[ˈpeɪ.ʃənt]
pattern|圖案/模式 |[ˈpæt.ən]
pay|付錢 |[peɪ]
PE|體育 |[ˌpiːˈiː]
peace|和平 |[piːs]
peaceful|和平的 |[ˈpiːs.fəl]
peach|桃子 |[piːtʃ]
pear|梨子 |[peər]
pen|鋼筆 |[pen]
pencil|鉛筆 |[ˈpen.səl]
penny|一分錢 |[ˈpen.i]
people|人們 |[ˈpiː.pəl]
pepper|胡椒粉 |[ˈpep.ər]
perfect|完美的 |[ˈpɜː.fɪkt]
perhaps|或許 |[pəˈhæps]
period|期間/句點 |[ˈpɪə.ri.əd]
person|人 |[ˈpɜː.sən]
personal|個人的 |[ˈpɜː.sən.əl]
pet|寵物 |[pet]
photo|照片 |[ˈfəʊ.təʊ]
photograph|照片 |[ˈfəʊ.tə.ɡrɑːf]
piano|鋼琴 |[piˈæn.əʊ]
pick|挑選/撿起 |[pɪk]
picnic|野餐 |[ˈpɪk.nɪk]
picture|圖片 |[ˈpɪk.tʃər]
pie|派 |[paɪ]
piece|一塊 |[piːs]
pig|豬 |[pɪɡ]
pigeon|鴿子 |[ˈpɪdʒ.ən]
pile|一堆 |[paɪl]
pillow|枕頭 |[ˈpɪl.əʊ]
pin|大頭針 |[pɪn]
pineapple|鳳梨 |[ˈpaɪnˌæp.əl]
pink|粉紅色 |[pɪŋk]
pipe|管子 |[paɪp]
pizza|披薩 |[ˈpiːt.sə]
place|地方 |[pleɪs]
plain|樸素的/平原 |[pleɪn]
plan|計畫 |[plæn]
plane|飛機 |[pleɪn]
planet|行星 |[ˈplæn.ɪt]
plant|植物/種植 |[plɑːnt]
plate|盤子 |[pleɪt]
platform|月台/平台 |[ˈplæt.fɔːm]
play|玩/戲劇 |[pleɪ]
player|玩者/球員 |[ˈpleɪ.ər]
playground|遊樂場 |[ˈpleɪ.ɡraʊnd]
pleasant|令人愉快的 |[ˈplez.ənt]
please|請/使高興 |[pliːz]
pleased|感到高興的 |[pliːzd]
pleasure|榮幸/快樂 |[ˈpleʒ.ər]
plenty|豐富 |[ˈplen.ti]
pocket|口袋 |[ˈpɒk.ɪt]
poem|詩 |[ˈpəʊ.ɪm]
poetry|詩歌 |[ˈpəʊ.ɪ.tri]
point|點/指向 |[pɔɪnt]
poison|毒藥 |[ˈpɔɪ.zən]
police|警察 |[pəˈliːs]
